offset,eng_size,he_size,special_char,text_en,text_he
0x160F3,17,8,0x0A,   Continue Game%s,המשך%s,
0x16105,9,8,0x0A,   Story%s,הרקע%s,
0x1610F,15,8,0x0A,   About ID...%s,אודות%s,
0x1611F,15,8,0x0A,   High Scores%s,השגים%s,
0x1612F,17,8,0x0A,   Ordering Info%s,לרכישה%s,
0x16141,13,8,0x0A,   Previews!%s,קדימון%s,
0x1614F,17,8,0x0A 0x0A,   Restart Demo%s%s,דמו%s%s,
0x16161,8,,,Use the ,בחצים,
0x1616A,6,,,arrows,השתמש,
0x16171,5,,,mouse,בעכבר,
0x16177,8,,,joystick,בגויסטיק,
0x16180,35,,0x0A,We are a group of Software Artists%s,אנו קבוצת אמני תוכנה%s,
0x161A8,34,,0x0A,whose goal is to bring commercial%s,ששואפים להביא תוכנה מסחרית%s,
0x161D0,31,,0x0A,quality software to the public%s,תוכנה איכותית לציבור%s,
0x161F8,22,,0x0A 0x0A,at shareware prices.%s%s,במחיר עממי.%s%s,
0x16220,33,,0x0A,Our effort is only possible with%s,מאמצינו אפשריים רק עם%s,
0x16248,36,,0x0A,"your support. Without it, we cannot%s","תמיכתכם. בלעדיה, איננו יכולים%s",
0x16270,27,,0x0A,continue to make this fine%s,להמשיך ליצור תוכנה איכותית%s,
0x16298,25,,0x0A 0x0A,software so affordable.%s%s,תוכנה כל כך משתלמת.%s%s,
0x162C0,30,,0x0A,Thank you in advance for your%s,תודה מראש על%s,
0x162E8,34,,0x0A,contribution to the future of the%s,תרומתכם לעתיד של%s,
0x16310,25,,,growing shareware market.,השוק העממי המתפתח.,
0x16338,7,,,SAVED?.,לשמור?.,
0x16345,7,,,SAVED?.,לשמור?.,
0x16380,22,,0x0A,You can SAVE the game%s,ניתן לשמור את המשחק%s,
0x16397,23,,0x0A,ONLY on the World Map!%s,רק במפת העולם!%s,
0x163AF,16,,,    press a key:,    לחץ על מקש:,
0x163C0,20,,0x0A,Which game position%s,על איזה חריץ%s,
0x163D5,21,,0x0A,do you want to save?%s,אתה רוצה לשמור?%s,
0x163EB,15,,,    1-9 or ESC:,    1-9 או CSE:,
0x163FB,19,,0x0A,That game position%s,חריץ המשחק הזה%s,
0x1640F,16,,0x0A,already exists!%s,כבר קיים!%s,
0x16420,14,,,Overwrite it?:,לדרוס אותו?:,
0x1642F,27,,0x0A,You can continue this game%s,אתה יכול להמשיך את המשחק%s,
0x1644B,29,,0x0A,from the Main Menu next time%s,בפעם הבאה מתפריט הראשי%s,
0x16469,22,,,you play. Press a key:,שאתה משחק. לחץ על מקש:,
0x16480,23,,0x0A,  Continue Which Game?%s,  איזה משחק להמשיך?%s,
0x16498,18,,,       1-9 or ESC:,       1-9 או CSE:,
0x164AB,19,,0x0A,  That game hasn't%s,  המשחק הזה לא%s,
0x164BF,18,,,  been saved yet!:,  נשמר עדיין!:,
0x164D2,26,,0x0A,That file is incompatible%s,הקובץ הזה אינו תואם%s,
0x164ED,23,,,with this verion of CK:,איזה גרסה של קין:,
0x16505,38,,0x0F 0x13,       ESC to Exit / %s %s to Read      ,   %s%s  CSE לצאת,
0x1652C,25,,0x0A,Commander Keen: Invasion%s,המפקד קין: הפלישה%s,
0x16546,26,,0x0A,of the Vorticons consists%s,של הוורטיקונים מורכב%s,
0x16561,23,,0x0A,   of three unique and%s,   משלושה פרקים ייחודיים%s,
0x16579,24,,0x0A,  challenging episodes:%s,  ופרקים מאתגרים:%s,
0x16592,26,,0x0A,1. Marooned on Mars   $15%s,1. נתקע על מאדים   $15%s,
0x165AD,26,,0x0A,2. The Earth Explodes $15%s,2. כדור הארץ מתפוצץ $15%s,
0x165C8,26,,0x0A,3. Keen Must Die!     $15%s,3. קין חייב למות!     $15%s,
0x165E3,39,,0x0A, Order the trilogy for $30 and you get%s,הזמן את הטרילוגיה ב$30 ותקבל%s,
0x1660B,38,,0x0A,"  * The ""Secret Hints & Tricks"" sheet%s","  * דף ""רמזים וטריקים סודיים""%s",
0x16632,38,,0x0A,"  * The special ""cheat mode"" password%s",סיסמא למוד הרמאות המיוחד%s,
0x16659,36,,0x0A,  * The latest version of each game%s,  * הגרסה האחרונה של כל משחק%s,
0x1667E,31,,0x0A 0x0A,  * SEVERAL FREE BONUS GAMES!%s%s,  * מספר משחקי בונוס חינמיים!%s%s,
0x1669E,39,,0x0A,                       Mail orders to:%s,                       שלח הזמנות ל:%s,
0x166C6,39,,0x0A,(U.S. funds only       Apogee Software%s,
0x166EE,39,,0x0A,checks or M/O's        P.O. Box 476389%s,
0x16716,43,,0x0A 0x0A 0x0A,"include $2 P&H)        Garland, TX 75047%s%s%s",
0x16742,41,,0x0A,Specify 5.25/3.5 disk size when ordering%s,ציין את גודל הדיסק 5.25/3.5 בעת ההזמנה%s,
0x1676C,46,,0x0A,       Or order toll free: 1-800-852-5659    %s,       או הזמנה חינם: 1-800-852-5659    %s,
0x1679B,38,,0x0A 0x0A 0x0A 0x0A 0x0A 0x0A,Your ship is missing%sthese parts:%s%s%s%s%s,הספינה שלך חסרה את החלקים הבאים:%s%s%s%s%s,
0x167C2,17,,0x0A,    GO GET THEM!%s,    לך להשיג אותם!%s,
0x167D4,11,,,   press a ,לחץ על ,
0x167E0,4,,,key:,מקש:,
0x167E5,7,,,button:,כפתור:,
0x167ED,20,,,Missing a text file!,חסר קובץ טקסט!,
